Sigla,Name,Índice-__H,level
SBES,Simpósio Brasileiro de Engenharia de Software,16,4
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,16,4
SCN,International Conference on Security in Communication Networks,16,4
SCOPES,International Workshop on Software and Compilers for Embedded Systems,16,4
SERVICES,IEEE Congress on Services,16,4
SLT,IEEE Spoken Language Technology Workshop,16,4
SMC_A,Sound and Music Computing Conference,16,4
SOSE,International Symposium on Service-Oriented System Engineering,16,4
VISUAL,International Conference on Visual Information Systems,16,4
WebNet,World Conference on the WWW and Internet,16,4
WES,"International Workshop on Web Services, E-Business, and the Semantic Web",16,4
WUWNET,International Conference on Underwater Networks,16,4
NAFIPS,North American Fuzzy Information Processing Society International Conference,15,4
SIGdial,Workshop on Discourse and Dialogue,15,4
IAAI,Conference on Innovative Applications in Artificial Intel igence,14,4
IFAC,Triennial Event of International Federation of Automatic Control,12,4
MMSP,International Workshop on Multimedia Signal Processing,12,4
CICC,IEEE Custom Integrated Circuits Conference,11,4
DYSPAN,IEEE Symposioum on New Frontiers in Dynamic Spectrum Access Networks,8,4
ACIS-ICIS,International Conference on Computer and Information Science,15,3
AFRICACRYPT,International Conference on Cryptology in Africa,15,3
AI*IA,Congress of the Italian Association for Artificial Intel igence,15,3
AiML,Advances in Modal Logic,15,3
ALGOSENSORS,Algorithmic Aspects of Wireless Sensor Networks,15,3
AMAI,International Symposium on Artificial Intel igence and Mathematics,15,3
APSCC,IEEE Asia-Pacific Services Computing Conference,15,3
CGIV,"International Conference on Computer Graphics, Imaging and Visualization",15,3
CIAA,International Conference on Implementation and Application of Automata,15,3
CIBCB,IEEE Symposium on Computational Intel igence in Bioinformatics and Computational Biology,15,3
CISIS,International Conference on Complex Intel igent and Software Intensive Systems,15,3
DUX,ACM Designing for User Experience Conference,15,3
ECSA,European Conference on Software Architecture,15,3
ELearn,"World Conference on E-Learning in Corporate, Government, Healthcare & Higher Education",15,3
ERSA,International Conference on Engineering of Reconfigurable Systems and Algorithms,15,3
FDL,Forum on Specification and Design Languages,15,3
FOCI,IEEE Symposium on Foundations of Computational Intel igence,15,3
HM,International Workshop on Hybrid Metaheuristics,15,3
HOTNETS,Workshop on Hot Topics in Networks,15,3
HPCS,International Symposium on High Performance Computing Systems and Applications,15,3
ICDL,IEEE International Conference on Development and Learning,15,3
ICIW,International Conference on Internet and Web Applications and Services,15,3
ICTAC,International Col oquium on Theoretical Aspects of Computing,15,3
IQIS,Information Quality in Information Systems,15,3
ISIC,IEEE International Symposium on Intel igent Control,15,3
MDAI,Modeling Decisions for Artificial Intel igence,15,3
MMNS,IFIP/IEEE Conference on Management of Multimedia Networks and Services,15,3
MobiWac,ACM International Workshop on Mobility Management and Wireless Access,15,3
MVA,IAPR International Workshop on Machine Vision Applications,15,3
NORCHIP,The Nordic Microelectronics event,15,3
PROPOR,International Conference on Computational Processing of Portuguese,15,3
REFSQ,Working Conference on Requirements Engineering: Foundation for Software Quality,15,3
RR,International Conference on Web Reasoning and Rule Systems,15,3
Sandbox,ACM SIGGRAPH Sandbox Symposium on Videogames,15,3
SARNOFF,IEEE Sarnoff Symposium,15,3
SASO,IEEE International Conference on Self-Adaptive and Self-Organizing Systems,15,3
SCAM,IEEE International Workshop on Source Code Analysis and Manipulation,15,3
SCSC,Summer Computer Simulation Conference,15,3
SIGITE,Information Technology Education,15,3
SIPS,IEEE Workshop on Signal Processing Systems Design and Implementation,15,3
VLSI-SOC,IFIP International Conference on Very Large Scale Integration,15,3
WWIC,Wired/Wireless Internet Communications,15,3
AAIM,Algorithmic Applications in Management,14,3
ABiALS,Anticipatory Behavior in Adaptive Learning Systems,14,3
AIRS,Asia Information Retrieval Symposium,14,3
ARC,International Workshop on Applied Reconfigurable Computing,14,3
AST,Automation of Software Test,14,3
CAMP,International Workshop on Computer Architectures for Machine Perception,14,3
CompSysTech,International Conference on Computer Systems and Technologies,14,3
DEON,International Workshop on Deontic Logic in Computer Science,14,3
ED-MEDIA,World Conference on Educational Multimedia Hypermedia and Telecommunications,14,3
Edutainment,International Conference on E-learning and Games,14,3
EUMAS,European Workshop on Multi-Agent Systems,14,3
EuroITV,European Interactive TV Conference,14,3
GeoInfo,Simpósio Brasileiro de Geoinformática,14,3
GeoS,International Conference on Geospatial Semantics,14,3
GSD,International Workshop on Global Software Development for the Practitioner,14,3
GWC,International Global Wordnet Conference,14,3
HOST,"Hardware-Oriented Security and Trust HOST), IEEE International Workshop on",14,3
HPCN,International Conference on High Performance Computing and Networking,14,3
ICAT,International Conference on Artificial Reality and Telexistence,14,3
ICMTS,IEEE International Conference on Microelectronics Test Structures,14,3
ICNS,International conference on Networking and Services,14,3
ICSTW,IEEE International Conference on Software Testing Verification and Validation Workshop,14,3
ICWL,International Conference on Web-based Learning,14,3
ICWMC,International Conference on Wireless and Mobile Communications,14,3
ISITA,IEEE International Symposium on Information Theory and Its Applications,14,3
MPAC,International Workshop on Middleware for Pervasive and Ad-hoc Computing,14,3
MSN,International Conference on Mobile Ad-hoc and Sensor Networks,14,3
MWE,Workshop on Multiword Expressions,14,3
NWeSP,International Conference on Next Generation Web Services Practices,14,3
